"filename", "language", "Log", "Markdown", "JSON", "HTML", "CSS", "JavaScript React", "JavaScript", "XML", "comment", "blank", "total"
"g:\git\snapshot-withaiesec\README.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 0, 0, 32, 69
"g:\git\snapshot-withaiesec\debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\git\snapshot-withaiesec\firebase.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 10, 0, 17
"g:\git\snapshot-withaiesec\package-lock.json", "JSON", 0, 0, 15678, 0, 0, 0, 0, 0, 0, 1, 15679
"g:\git\snapshot-withaiesec\package.json", "JSON", 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 60
"g:\git\snapshot-withaiesec\public\index.html", "HTML", 0, 0, 0, 26, 0, 0, 0, 0, 27, 1, 54
"g:\git\snapshot-withaiesec\public\manifest.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"g:\git\snapshot-withaiesec\src\App.css", "CSS", 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"g:\git\snapshot-withaiesec\src\App.jsx", "JavaScript React", 0, 0, 0, 0, 0, 92, 0, 0, 7, 8, 107
"g:\git\snapshot-withaiesec\src\App.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"g:\git\snapshot-withaiesec\src\accordian.css", "CSS", 0, 0, 0, 0, 161, 0, 0, 0, 0, 1, 162
"g:\git\snapshot-withaiesec\src\assets\fonts\lato-v16-latin-300.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 435, 0, 1, 436
"g:\git\snapshot-withaiesec\src\assets\fonts\lato-v16-latin-300italic.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 443, 0, 1, 444
"g:\git\snapshot-withaiesec\src\assets\fonts\lato-v16-latin-700.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 438, 0, 1, 439
"g:\git\snapshot-withaiesec\src\assets\fonts\lato-v16-latin-700italic.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 451, 0, 1, 452
"g:\git\snapshot-withaiesec\src\assets\fonts\lato-v16-latin-900.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 439, 0, 1, 440
"g:\git\snapshot-withaiesec\src\assets\fonts\lato-v16-latin-900italic.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 447, 0, 1, 448
"g:\git\snapshot-withaiesec\src\assets\fonts\lato-v16-latin-italic.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 450, 0, 1, 451
"g:\git\snapshot-withaiesec\src\assets\fonts\lato-v16-latin-regular.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 435, 0, 1, 436
"g:\git\snapshot-withaiesec\src\comps\ControlAtoms\ButtonToggle.jsx", "JavaScript React", 0, 0, 0, 0, 0, 37, 0, 0, 0, 3, 40
"g:\git\snapshot-withaiesec\src\comps\ControlAtoms\CheckToggle.jsx", "JavaScript React", 0, 0, 0, 0, 0, 44, 0, 0, 0, 4, 48
"g:\git\snapshot-withaiesec\src\comps\ControlAtoms\ImageUpload.jsx", "JavaScript React", 0, 0, 0, 0, 0, 6, 0, 0, 24, 1, 31
"g:\git\snapshot-withaiesec\src\comps\ControlAtoms\LockToggle.jsx", "JavaScript React", 0, 0, 0, 0, 0, 48, 0, 0, 0, 3, 51
"g:\git\snapshot-withaiesec\src\comps\ControlAtoms\RangeInput.jsx", "JavaScript React", 0, 0, 0, 0, 0, 37, 0, 0, 0, 4, 41
"g:\git\snapshot-withaiesec\src\comps\ControlAtoms\TextInput.jsx", "JavaScript React", 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 35
"g:\git\snapshot-withaiesec\src\comps\Controls.jsx", "JavaScript React", 0, 0, 0, 0, 0, 64, 0, 0, 1, 5, 70
"g:\git\snapshot-withaiesec\src\comps\Image\Wrappers\ExpImageWrapper.jsx", "JavaScript React", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"g:\git\snapshot-withaiesec\src\comps\Image\Wrappers\GeneratedImageWrapper.jsx", "JavaScript React", 0, 0, 0, 0, 0, 87, 0, 0, 0, 4, 91
"g:\git\snapshot-withaiesec\src\comps\Image\Wrappers\MomImageWrapper.jsx", "JavaScript React", 0, 0, 0, 0, 0, 62, 0, 0, 12, 7, 81
